district_id,species,year_min,year_max,Lambda_import,p_ge1_major_mean,p_ge1_major_p2_5,p_ge1_major_p97_5,mean_q_import_mean,mean_q_import_p2_5,mean_q_import_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_mean,mean_p_est_p2_5,mean_p_est_p97_5,scenario,m_val,beta_vh,beta_hv,ip_days,gamma_day,p_base_mean,p_base_p2_5,p_base_p97_5,delta_abs,delta_pct
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.02369164926996465,0.023630018464443618,0.023750385231326065,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,3.915721959541785e-5,3.905410338328955e-5,3.925545381960204e-5,0.009718844086575603,0.009691575235588383,0.009743904427959105,base,1,0.3,0.33,5,0.2,0.02369164926996465,0.023630018464443618,0.023750385231326065,0,0
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,2.8581462461287783e-11,2.7339800394550428e-11,3.0042263638659115e-11,9.720141570958868e-8,9.310813131775447e-8,1.0205941006542899e-7,base,1,0.3,0.33,5,0.2,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,0,0
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.9992673951892214,0.9992538352127315,0.9992806574055699,0.04527248508707732,0.04527248508707732,0.04527248508707732,0.011258892180796776,0.011231483797412413,0.011286246963937027,0.015348536755418888,0.015308756582625793,0.015388131741704567,base,1,0.3,0.33,5,0.2,0.9992673951892214,0.9992538352127315,0.9992806574055699,0,0
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,0.014257595668631126,0.014257595668631126,0.014257595668631126,6.051278737435044e-7,5.858024607423414e-7,6.264798232163707e-7,2.6451270419497103e-6,2.562778446143559e-6,2.7333591917188996e-6,base,1,0.3,0.33,5,0.2,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,0,0
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,0.002177499964496262,0.002164164611211872,0.0021904689034207224,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,3.5617643962895696e-6,3.539928169789935e-6,3.5829999075233376e-6,0.006664123921195193,0.006623932738952865,0.0067031657547081,base,1,0.3,0.33,5,0.2,0.002177499964496262,0.002164164611211872,0.0021904689034207224,0,0
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,5.2356083811405215e-5,4.916169933631143e-5,5.568761622587737e-5,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,8.55499778963205e-8,8.033031791137326e-8,9.0993754789599e-8,1.848265877972257e-5,1.7361282383970796e-5,1.965418741921631e-5,m_050,0.5,0.3,0.33,5,0.2,0.02369164926996465,0.023630018464443618,0.023750385231326065,-0.023639293186153244,-99.77901038794383
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,0,0,0,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,0,0,0,3.8231872279500307e-16,3.642692538312605e-16,4.036395400925799e-16,m_050,0.5,0.3,0.33,5,0.2,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,-1.7491854915285822e-8,-100
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,4.701004622137961e-6,4.585152985553398e-6,4.8270617136886296e-6,0.04527248508707732,0.04527248508707732,0.04527248508707732,7.681396501892988e-9,7.492095696869104e-9,7.887372967968959e-9,9.0869381303775e-9,8.871257393185362e-9,9.320797200384526e-9,m_050,0.5,0.3,0.33,5,0.2,0.9992673951892214,0.9992538352127315,0.9992806574055699,-0.9992626941845992,-99.99952955488743
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,1.8528644174509167e-12,1.7822299192005175e-12,1.929736925809777e-12,0.014257595668631126,0.014257595668631126,0.014257595668631126,3.027556237664897e-15,2.912140390850519e-15,3.1531649114538845e-15,1.3222018432919414e-14,1.2727106042982268e-14,1.3770425431744394e-14,m_050,0.5,0.3,0.33,5,0.2,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,-3.702767330615401e-4,-99.9999994996001
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,1.185568591077768e-9,1.1286296758283854e-9,1.2407798677394055e-9,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,1.9372035801924315e-12,1.844166136974486e-12,2.0274180845415126e-12,3.4685805996133475e-9,3.307199772704331e-9,3.624119956976634e-9,m_050,0.5,0.3,0.33,5,0.2,0.002177499964496262,0.002164164611211872,0.0021904689034207224,-0.002177498778927671,-99.99994555368035
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.007314713684759335,0.0072717744281555535,0.007354652420166846,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,1.1991218921172124e-5,1.1920588907546404e-5,1.2056913345822897e-5,0.0028210013485362576,0.002804003348616054,0.0028370598437042005,m_080,0.8,0.3,0.33,5,0.2,0.02369164926996465,0.023630018464443618,0.023750385231326065,-0.016376935585205317,-69.12535044982013
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,3.9180051980558514e-11,3.7369779493090503e-11,4.131896769177246e-11,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,6.401969277869039e-14,6.10617311978603e-14,6.751465309113147e-14,2.1754253162826043e-10,2.0780538841525338e-10,2.2923120411205737e-10,m_080,0.8,0.3,0.33,5,0.2,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,-1.7452674863305264e-8,-99.7760097361297
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.3690332822431898,0.3664020155138091,0.3718405128952079,0.04527248508707732,0.04527248508707732,0.04527248508707732,7.455722693922625e-4,7.389360265681531e-4,7.526675527465025e-4,9.183028649689528e-4,9.103289730463315e-4,9.26853973421368e-4,m_080,0.8,0.3,0.33,5,0.2,0.9992673951892214,0.9992538352127315,0.9992806574055699,-0.6302341129460316,-63.06961639899102
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,9.59435587746138e-7,9.250032510177419e-7,9.973786894240667e-7,0.014257595668631126,0.014257595668631126,0.014257595668631126,1.567705875959784e-9,1.5114438416391593e-9,1.629704459876322e-9,6.848382966239442e-9,6.6090682546711725e-9,7.115500230170634e-9,m_080,0.8,0.3,0.33,5,0.2,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,-3.693172993266584e-4,-99.74088688343654
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,1.4278879053972226e-4,1.3952297785608525e-4,1.4589098660107991e-4,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,2.3333061515463385e-7,2.2799362338260338e-7,2.3840022997920932e-7,4.2280499435197433e-4,4.134956406080442e-4,4.3185667868707854e-4,m_080,0.8,0.3,0.33,5,0.2,0.002177499964496262,0.002164164611211872,0.0021904689034207224,-0.00203471117395654,-93.44253534475925
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.04475344606151689,0.044681761262557046,0.04482514579553691,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,7.476516914696571e-5,7.464266863449716e-5,7.488774867755924e-5,0.019021906482454953,0.018990025250706068,0.019054057372427362,m_120,1.2,0.3,0.33,5,0.2,0.02369164926996465,0.023630018464443618,0.023750385231326065,0.02106179679155224,88.89966482094417
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,1.9210618123143285e-6,1.8519303347452888e-6,2.0027320678517313e-6,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,3.13899247798925e-9,3.0260323741721705e-9,3.272440815168379e-9,1.069814722472899e-5,1.0311289681889058e-5,1.114485412935687e-5,m_120,1.2,0.3,0.33,5,0.2,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,1.9035699573990428e-6,10882.60774296468
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.9999999988403587,0.9999999988144429,0.9999999988655527,0.04527248508707732,0.04527248508707732,0.04527248508707732,0.030917895450842628,0.030886597721582292,0.030948854861123032,0.045760929482921243,0.04571107831817656,0.04581077176140076,m_120,1.2,0.3,0.33,5,0.2,0.9992673951892214,0.9992538352127315,0.9992806574055699,7.326036511373646e-4,0.07331407535804155
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,0.026748062344647404,0.02619943831192442,0.02732512362873676,0.014257595668631126,0.014257595668631126,0.014257595668631126,4.425655564959836e-5,4.333797249036969e-5,4.522272524196835e-5,1.941915293640243e-4,1.9020523939776535e-4,1.983761509773772e-4,m_120,1.2,0.3,0.33,5,0.2,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,0.026377785609733,7123.803124123004
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,0.006156838991973619,0.006140850856230831,0.006173456250858039,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,1.0090694022831929e-5,1.006441048045914e-5,1.0118013271870709e-5,0.01943302332982542,0.01938246132529426,0.019484704504060233,m_120,1.2,0.3,0.33,5,0.2,0.002177499964496262,0.002164164611211872,0.0021904689034207224,0.003979339027477357,182.7480639430425
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.1293082523914477,0.12922862326232165,0.12937949012934216,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,2.2604455512662957e-4,2.2589527359534545e-4,2.2617812629014585e-4,0.06081899762925232,0.06077598839641447,0.06085821243864353,m_200,2,0.3,0.33,5,0.2,0.02369164926996465,0.023630018464443618,0.023750385231326065,0.10561660312148305,445.79675276292255
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,0.003204053659224316,0.003193241318377346,0.0032146788292575722,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,5.24367130495363e-6,5.225948037457643e-6,5.261088127329617e-6,0.019114643586804446,0.019049257321219776,0.019175645973396313,m_200,2,0.3,0.33,5,0.2,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,0.0032040361673694004,18317303.584364
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,1,1,1,0.04527248508707732,0.04527248508707732,0.04527248508707732,0.08898386206258763,0.08896211182604111,0.0890068542975922,0.15230605779809792,0.15226341315333247,0.15235051857416876,m_200,2,0.3,0.33,5,0.2,0.9992673951892214,0.9992538352127315,0.9992806574055699,7.326048107786365e-4,0.0733141914071869
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,0.9971161272216965,0.997086689918679,0.9971476895963087,0.014257595668631126,0.014257595668631126,0.014257595668631126,0.009329319011364011,0.009313234328197587,0.009346644194246233,0.04489462534898747,0.04481566274032076,0.04497857262210514,m_200,2,0.3,0.33,5,0.2,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,0.9967458504867821,269189.43495523586
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,0.022721065520619775,0.022705407899830617,0.022736924712320427,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,3.7549886359671344e-5,3.752370979248093e-5,3.757639696572891e-5,0.07719451596794373,0.07713752945286491,0.07725297332037491,m_200,2,0.3,0.33,5,0.2,0.002177499964496262,0.002164164611211872,0.0021904689034207224,0.02054356555612351,943.4473428740565
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.007314713684759333,0.0072717744281555535,0.007354652420166846,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,1.1991218921172122e-5,1.1920588907546404e-5,1.2056913345822897e-5,0.002821001348536257,0.002804003348616053,0.0028370598437042,beta_minus_20,1,0.24,0.33,5,0.2,0.02369164926996465,0.023630018464443618,0.023750385231326065,-0.016376935585205317,-69.12535044982013
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,3.9180051980558514e-11,3.7369779493090503e-11,4.131896769177246e-11,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,6.401969277869039e-14,6.10617311978603e-14,6.751465309113147e-14,2.1754253162826043e-10,2.0780538841525338e-10,2.2923120411205737e-10,beta_minus_20,1,0.24,0.33,5,0.2,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,-1.7452674863305264e-8,-99.7760097361297
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.36903328224318943,0.36640201551380874,0.3718405128952076,0.04527248508707732,0.04527248508707732,0.04527248508707732,7.455722693922617e-4,7.389360265681522e-4,7.526675527465016e-4,9.183028649689517e-4,9.103289730463308e-4,9.26853973421367e-4,beta_minus_20,1,0.24,0.33,5,0.2,0.9992673951892214,0.9992538352127315,0.9992806574055699,-0.6302341129460319,-63.06961639899106
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,9.59435587746138e-7,9.250032510177419e-7,9.973786894240667e-7,0.014257595668631126,0.014257595668631126,0.014257595668631126,1.567705875959784e-9,1.5114438416391593e-9,1.629704459876322e-9,6.848382966239442e-9,6.6090682546711725e-9,7.115500230170634e-9,beta_minus_20,1,0.24,0.33,5,0.2,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,-3.693172993266584e-4,-99.74088688343654
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,1.4278879053972215e-4,1.3952297785608525e-4,1.4589098660107991e-4,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,2.3333061515463367e-7,2.2799362338260338e-7,2.3840022997920932e-7,4.228049943519738e-4,4.134956406080442e-4,4.31856678687078e-4,beta_minus_20,1,0.24,0.33,5,0.2,0.002177499964496262,0.002164164611211872,0.0021904689034207224,-0.00203471117395654,-93.44253534475925
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.0447534460615169,0.044681761262557046,0.04482514579553691,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,7.476516914696571e-5,7.464266863449716e-5,7.488774867755924e-5,0.019021906482454953,0.018990025250706068,0.019054057372427366,beta_plus_20,1,0.36,0.33,5,0.2,0.02369164926996465,0.023630018464443618,0.023750385231326065,0.021061796791552248,88.8996648209442
TUR.39.3_1,albopictus,2025,2075,0.10815124386811228,1.9210618123143285e-6,1.8519303347452888e-6,2.0027320678517313e-6,1.7364277115849797e-5,1.7364277115849797e-5,1.7364277115849797e-5,3.13899247798925e-9,3.0260323741721705e-9,3.272440815168379e-9,1.0698147224728993e-5,1.0311289681889058e-5,1.114485412935687e-5,beta_plus_20,1,0.36,0.33,5,0.2,1.7491854915285822e-8,1.6731957730442558e-8,1.8385865235837074e-8,1.9035699573990428e-6,10882.60774296468
TUR.40.25_1,albopictus,2025,2075,289.5792406948352,0.9999999988403587,0.9999999988144429,0.9999999988655527,0.04527248508707732,0.04527248508707732,0.04527248508707732,0.03091789545084263,0.030886597721582292,0.030948854861123035,0.045760929482921243,0.045711078318176564,0.04581077176140077,beta_plus_20,1,0.36,0.33,5,0.2,0.9992673951892214,0.9992538352127315,0.9992806574055699,7.326036511373646e-4,0.07331407535804155
TUR.59.4_1,albopictus,2025,2075,89.53812911587919,0.026748062344647425,0.026199438311924422,0.027325123628736975,0.014257595668631126,0.014257595668631126,0.014257595668631126,4.425655564959839e-5,4.3337972490369695e-5,4.5222725241968356e-5,1.9419152936402443e-4,1.9020523939776535e-4,1.9837615097737738e-4,beta_plus_20,1,0.36,0.33,5,0.2,3.702767349144045e-4,3.5845326086554055e-4,3.8333983474832527e-4,0.026377785609733022,7123.803124123009
TUR.81.6_1,aegypti,2025,2075,0.18659150451509787,0.006156838991973621,0.006140850856230831,0.006173456250858039,2.9958074983035623e-5,2.9958074983035623e-5,2.9958074983035623e-5,1.0090694022831932e-5,1.006441048045914e-5,1.0118013271870709e-5,0.019433023329825425,0.019382461325294264,0.01948470450406024,beta_plus_20,1,0.36,0.33,5,0.2,0.002177499964496262,0.002164164611211872,0.0021904689034207224,0.003979339027477359,182.74806394304258
TUR.10.4_1,aegypti,2025,2075,1.3802547424979463,0.04475344606151691,0.044681761262557046,0.04482514579553691,2.2158140613665075e-4,2.2158140613665075e-4,2.2158140613665075e-4,7.476516914696574e-5,7.464266863449717e-5,7.488774867755924e-5,0.01902190648245496,0.018990025250706078,0.01905405737242737,ip_plus_20,1,0.3,0.33,6,0.16666666666666666,0.02369164926996465,0.023630018464443618,0.023750385231326065,0.021061796791552262,88.89966482094425
