district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.023339772865035243,2.562083204959986e-8,2.2624829448814053e-8,2.8480172664657744e-8,1.9115857818375695e-4,1.9115857818375695e-4,1.9115857818375695e-4,2.1350693374666553e-9,1.8854024540678378e-9,2.3733477220548122e-9,6.47608332695393e-7,5.720209779428351e-7,7.19732972178505e-7,11.987555373027492,82.00079144941334
TUR.10.4_1,2026,aegypti,0.022567114876814898,1.6287453228236437e-8,1.457738960930488e-8,1.7989512193783418e-8,1.8483098352996738e-4,1.8483098352996738e-4,1.8483098352996738e-4,1.357287769019703e-9,1.2147824674420735e-9,1.4991260161486183e-9,4.250714004837471e-7,3.804420083138027e-7,4.694918860438657e-7,12.571779522612262,79.88245572553639
TUR.10.4_1,2027,aegypti,0.023083389962273798,1.4850669623034385e-8,1.3233402049173116e-8,1.643200343570683e-8,1.890589646490933e-4,1.890589646490933e-4,1.890589646490933e-4,1.237555801919532e-9,1.1027835040977596e-9,1.369333619642236e-9,3.789059055155826e-7,3.3764228757407476e-7,4.192526583209992e-7,12.158861481462486,81.48944526817962
TUR.10.4_1,2028,aegypti,0.022390774658325518,0,0,0,1.831268400967756e-4,1.831268400967756e-4,1.831268400967756e-4,0,0,0,7.544890638181793e-17,6.47630097698008e-17,8.326672684688674e-17,11.52963851721542,83.77635818627044
TUR.10.4_1,2029,aegypti,0.02539449660329965,4.8571797457225264e-4,4.7567716393357714e-4,4.958373150894923e-4,2.0798528198567867e-4,2.0798528198567867e-4,2.0798528198567867e-4,4.047828614302051e-5,3.964139898821375e-5,4.132173011896431e-5,0.013165998346440711,0.012895499991720853,0.013434318014365098,13.321432067269651,80.11147806948983
TUR.10.4_1,2030,aegypti,0.02466717953822914,5.642368572367218e-12,4.973732536939224e-12,6.379582973004006e-12,2.0202911734032436e-4,2.0202911734032436e-4,2.0202911734032436e-4,4.701973810306015e-13,4.14477711411602e-13,5.316319144170005e-13,1.598492710697119e-10,1.4089888630830494e-10,1.807350954082428e-10,13.04720964363671,79.66073216901783
TUR.10.4_1,2031,aegypti,0.024058109373840945,1.2397360873176888e-5,1.1328576599509144e-5,1.3402358855288397e-5,1.970412722641183e-4,1.970412722641183e-4,1.970412722641183e-4,1.033113406098074e-6,9.440480499590953e-7,1.1168632379406998e-6,3.0349754773559593e-4,2.773326821432128e-4,3.281008827311196e-4,12.51264945995268,81.87432533409759
TUR.10.4_1,2032,aegypti,0.025439061236297217,3.8591040816679745e-5,3.5943873427721206e-05,4.142477160305191e-5,2.0805482105989057e-4,2.0805482105989057e-4,2.0805482105989057e-4,3.2159200680566453e-6,2.995322785643434e-6,3.4520643002543263e-6,8.947358075211175e-4,8.333599341436146e-4,9.604373778101872e-4,13.1178748938586,78.91104306684498
TUR.10.4_1,2033,aegypti,0.024526308677413053,2.6162362181114674e-9,2.3736082960246208e-9,2.8771510979241907e-9,2.008754891825356e-4,2.008754891825356e-4,2.008754891825356e-4,2.1801968484262228e-10,1.9780069133538505e-10,2.397625914936826e-10,7.802267887618841e-8,7.07209781590501e-8,8.586731225941151e-8,12.991372260763812,83.02621958560312
TUR.10.4_1,2034,aegypti,0.023590985362700986,6.125758425926416e-4,6.014334299088014e-4,6.240461426054056e-4,1.9321584449516482e-4,1.9321584449516482e-4,1.9321584449516482e-4,5.104798688272013e-5,5.0119452492400116e-5,5.200384521711714e-5,0.015297892024535065,0.015019547770920561,0.015584429484624946,12.21449005188005,80.53120984540944
TUR.10.4_1,2035,aegypti,0.022988501523995085,2.1379930759124476e-10,1.9130469430805874e-10,2.374098945212566e-10,1.8828188718298758e-4,1.8828188718298758e-4,1.8828188718298758e-4,1.7816608965937064e-11,1.5942057859004897e-11,1.9784157876771383e-11,5.477476261478431e-9,4.901171311855191e-9,6.08237179326269e-9,11.759104741925565,83.11171585228607
