Senaryo,Ilce,maks p_ay,"p>0,01 ay","p>0,05 ay",P_ufuk (kesin),P_ufuk (Poisson),Bagil fark (%),Sp2/2
SSP1-2.6,Kartal (Istanbul),0.10076449870442009,77,25,0.9745737556209825,0.9718465784706054,0.27983281251395453,0.09728342977020635
SSP1-2.6,Hopa (Artvin),7.01596775484046e-4,0,0,0.0015058637390107377,0.0015055524726557135,0.02067028688988104,3.116114615272049e-7
SSP1-2.6,Fethiye (Mugla),1.29380719525779e-5,0,0,1.3419712551887564e-4,1.3419667791680912e-4,3.335407258476048e-4,4.4766057399807755e-10
SSP1-2.6,Zonguldak,3.449709172669646e-5,0,0,1.9973995461641803e-4,1.9973802629524862e-4,9.654158443722172e-4,1.92867190640172e-9
SSP1-2.6,Egirdir (Isparta),3.0266499330133813e-9,0,0,4.940222231297753e-9,4.94022300845387e-9,1.5731197522129636e-5,4.712822848661103e-18
SSP2-4.5,Kartal (Istanbul),0.15430315833849223,85,37,0.9921836642464502,0.9904975084944321,0.16994391389206645,0.1815521627283596
SSP2-4.5,Hopa (Artvin),0.0015645659547036846,0,0,0.010783088781135763,0.010778286702216144,0.04453342652635788,4.850875876042747e-6
SSP2-4.5,Fethiye (Mugla),0.002489177386695671,0,0,0.003220462138454505,0.0032173347957297205,0.09710850773378324,3.1322882998000583e-6
SSP2-4.5,Zonguldak,1.043786457768071e-4,0,0,9.264175456912271e-4,9.263860274888458e-4,0.003402159482830759,3.154567299369421e-8
SSP2-4.5,Egirdir (Isparta),6.085312933856724e-8,0,0,7.383075717459775e-8,7.38307549541517e-8,3.007481074587003e-6,1.8641584872958883e-15
SSP5-8.5,Kartal (Istanbul),0.18457920830544747,109,59,0.9992673940926071,0.9989825359924085,0.02850669419242823,0.3034544912911388
SSP5-8.5,Hopa (Artvin),0.0021398871901600106,0,0,0.023691649235446754,0.023679356544926256,0.051886174737497834,1.2579478048216504e-5
SSP5-8.5,Fethiye (Mugla),7.236299322141804e-5,0,0,3.7027673429024244e-4,3.702696919826165e-4,0.001901903893431568,7.0446534286630315e-9
SSP5-8.5,Zonguldak,1.2209773511550725e-4,0,0,0.002177499964996943,0.002177425772211583,0.003407246225141034,7.435065888467126e-8
SSP5-8.5,Egirdir (Isparta),4.18616352004797e-9,0,0,1.74918549644687e-8,1.7491854853446398e-8,6.347085697202261e-7,2.4102702606568794e-17
