Senaryo,Ilce,k_vpd,maks P_est,P_horizon,mod
SSP1-2.6,Kartal,0.3,0.1665702605962899,0.9784627671708958,anchored
SSP1-2.6,Kartal,0.5,0.15703468880408739,0.9745742223407973,anchored
SSP1-2.6,Kartal,0.8,0.23992618687850317,0.9760938146588001,anchored
SSP1-2.6,Hopa,0.3,0.06907477405450367,3.25212460551616e-4,anchored
SSP1-2.6,Hopa,0.5,0.2167341944535924,0.001505863777467198,anchored
SSP1-2.6,Hopa,0.8,0.42522773922056606,0.005463970088278036,anchored
SSP1-2.6,Zonguldak,0.3,0.08283549176721344,2.1747886257628135e-4,anchored
SSP1-2.6,Zonguldak,0.5,0.08105880677697966,1.9973995648636667e-4,anchored
SSP1-2.6,Zonguldak,0.8,0.08365518230830628,2.400356505845025e-4,anchored
SSP1-2.6,Fethiye,0.3,0.0028173680168015205,0.008449815374306335,anchored
SSP1-2.6,Fethiye,0.5,6.462505156317589e-5,1.3419712716267185e-4,anchored
SSP1-2.6,Fethiye,0.8,3.918931517953611e-6,1.4007637711976884e-6,anchored
SSP1-2.6,Egirdir,0.3,4.075373263116322e-4,4.812340061999265e-7,anchored
SSP1-2.6,Egirdir,0.5,1.2463341845791897e-5,4.940222453342358e-9,anchored
SSP1-2.6,Egirdir,0.8,4.272282121527796e-8,1.4966361483459423e-11,anchored
SSP2-4.5,Kartal,0.3,0.22037589063404184,0.9934281047628419,anchored
SSP2-4.5,Kartal,0.5,0.22689968912041159,0.992183831376114,anchored
SSP2-4.5,Kartal,0.8,0.26552796978628274,0.9928164335796784,anchored
SSP2-4.5,Hopa,0.3,0.3501411562861717,0.006302785818351642,anchored
SSP2-4.5,Hopa,0.5,0.41886468089543183,0.01078308896765312,anchored
SSP2-4.5,Hopa,0.8,0.5112520306701732,0.019896024323772576,anchored
SSP2-4.5,Zonguldak,0.3,0.21646719987583848,8.044778812741349e-4,anchored
SSP2-4.5,Zonguldak,0.5,0.2185933724934178,9.264175512642137e-4,anchored
SSP2-4.5,Zonguldak,0.8,0.29935488383327113,0.0011791519188908417,anchored
SSP2-4.5,Fethiye,0.3,0.031006828036840718,0.0203902072531299,anchored
SSP2-4.5,Fethiye,0.5,0.010277533056088148,0.0032204669370518024,anchored
SSP2-4.5,Fethiye,0.8,7.902141367340874e-4,2.2328438150198693e-4,anchored
SSP2-4.5,Egirdir,0.3,0.0040631145766355705,2.351055972349414e-6,anchored
SSP2-4.5,Egirdir,0.5,2.0775455739301728e-4,7.383075706357545e-8,anchored
SSP2-4.5,Egirdir,0.8,5.40267892065587e-7,2.399870302483009e-10,anchored
SSP5-8.5,Kartal,0.3,0.21183720305653192,0.9997639759905008,anchored
SSP5-8.5,Kartal,0.5,0.2262751084118085,0.9992674262659917,anchored
SSP5-8.5,Kartal,0.8,0.24608203671854323,0.998032710775795,anchored
SSP5-8.5,Hopa,0.3,0.37936406898634284,0.013352423640374811,anchored
SSP5-8.5,Hopa,0.5,0.4593845804836887,0.023691649759637223,anchored
SSP5-8.5,Hopa,0.8,0.5586134336233761,0.042940850547451226,anchored
SSP5-8.5,Zonguldak,0.3,0.23178992202349144,0.002368546034255292,anchored
SSP5-8.5,Zonguldak,0.5,0.20722175433098494,0.0021774999869227374,anchored
SSP5-8.5,Zonguldak,0.8,0.21852610642223697,0.0020932546607097535,anchored
SSP5-8.5,Fethiye,0.3,0.005732858240880012,0.01069060025544677,anchored
SSP5-8.5,Fethiye,0.5,3.2561465942919685e-4,3.702767551021502e-4,anchored
SSP5-8.5,Fethiye,0.8,4.5123590954132724e-5,1.80871163959484e-5,anchored
SSP5-8.5,Egirdir,0.3,0.0010230247639377657,1.716533896689576e-6,anchored
SSP5-8.5,Egirdir,0.5,1.506835851464916e-5,1.7491854853446398e-8,anchored
SSP5-8.5,Egirdir,0.8,1.0516245083706386e-7,7.433231807851826e-11,anchored
