Senaryo,Ilce,"m=1,00 (baz)","m=0,50","m=0,80","m=1,20","m=2,00",beta-20%,beta+20%,IP-20%,IP+20%
SSP1-2.6,Egirdir (Isparta),4.94×10^-09,~0,1.09×10^-11,5.66×10^-07,"0,2245%",1.09×10^-11,5.66×10^-07,1.09×10^-11,5.66×10^-07
SSP1-2.6,Fethiye (Mugla),"0,0134%",5.86×10^-13,3.19×10^-07,"1,25%","99,17%",3.19×10^-07,"1,25%",3.19×10^-07,"1,25%"
SSP1-2.6,Hopa (Artvin),"0,1506%",2.64×10^-09,"0,0156%","0,6108%","4,30%","0,0156%","0,6108%","0,0156%","0,6108%"
SSP1-2.6,Kartal (Istanbul),"97,46%",7.29×10^-07,"12,31%",">99,99%",">99,99%","12,31%",">99,99%","12,31%",">99,99%"
SSP1-2.6,Zonguldak,"0,0200%",9.18×10^-12,2.62×10^-06,"0,1331%","1,13%",2.62×10^-06,"0,1331%",2.62×10^-06,"0,1331%"
SSP2-4.5,Egirdir (Isparta),7.38×10^-08,3.32×10^-16,1.93×10^-10,5.27×10^-06,"0,2608%",1.93×10^-10,5.27×10^-06,1.93×10^-10,5.27×10^-06
SSP2-4.5,Fethiye (Mugla),"0,3220%",3.66×10^-11,1.49×10^-05,"6,48%","99,46%",1.49×10^-05,"6,48%",1.49×10^-05,"6,48%"
SSP2-4.5,Hopa (Artvin),"1,08%",7.72×10^-06,"0,3652%","2,06%","6,86%","0,3652%","2,06%","0,3652%","2,06%"
SSP2-4.5,Kartal (Istanbul),"99,22%",4.86×10^-06,"31,40%",">99,99%",">99,99%","31,40%",">99,99%","31,40%",">99,99%"
SSP2-4.5,Zonguldak,"0,0926%",1.27×10^-09,9.74×10^-05,"0,2791%","1,38%",9.74×10^-05,"0,2791%",9.74×10^-05,"0,2791%"
SSP5-8.5,Egirdir (Isparta),1.75×10^-08,~0,3.92×10^-11,1.92×10^-06,"0,3204%",3.92×10^-11,1.92×10^-06,3.92×10^-11,1.92×10^-06
SSP5-8.5,Fethiye (Mugla),"0,0370%",1.85×10^-12,9.59×10^-07,"2,67%","99,71%",9.59×10^-07,"2,67%",9.59×10^-07,"2,67%"
SSP5-8.5,Hopa (Artvin),"2,37%",5.24×10^-05,"0,7315%","4,48%","12,93%","0,7315%","4,48%","0,7315%","4,48%"
SSP5-8.5,Kartal (Istanbul),"99,93%",4.70×10^-06,"36,90%",">99,99%",">99,99%","36,90%",">99,99%","36,90%",">99,99%"
SSP5-8.5,Zonguldak,"0,2177%",1.19×10^-09,"0,0143%","0,6157%","2,27%","0,0143%","0,6157%","0,0143%","0,6157%"
