ssp,district,carpan,P,P_base,delta_pp,senaryolar,sinif
SSP1-2.6,Egirdir (Isparta),0.5,0,4.940222985472253e-9,-4.940222985472254e-7,m_050,"0,50x (m)"
SSP1-2.6,Egirdir (Isparta),0.8,1.0882682643931218e-11,4.940222985472253e-9,-4.929340302828322e-7,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP1-2.6,Egirdir (Isparta),1.2,5.655468400542763e-7,4.940222985472253e-9,5.60606617068804e-5,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP1-2.6,Egirdir (Isparta),2,0.00224511720789782,4.940222985472253e-9,0.22451122676748347,m_200,"2,00x (m)"
SSP1-2.6,Fethiye (Mugla),0.5,5.855361751017085e-13,1.341971255921678e-4,-0.013419712500663164,m_050,"0,50x (m)"
SSP1-2.6,Fethiye (Mugla),0.8,3.194493284427447e-7,1.341971255921678e-4,-0.013387767626372508,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP1-2.6,Fethiye (Mugla),1.2,0.01245354273358314,1.341971255921678e-4,1.2319345607990972,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP1-2.6,Fethiye (Mugla),2,0.9916908531923152,1.341971255921678e-4,99.1556656066723,m_200,"2,00x (m)"
SSP1-2.6,Hopa (Artvin),0.5,2.635439719234078e-9,0.00150586373819563,-0.15058611027559107,m_050,"0,50x (m)"
SSP1-2.6,Hopa (Artvin),0.8,1.558270050949706e-4,0.00150586373819563,-0.13500367331006594,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP1-2.6,Hopa (Artvin),1.2,0.00610780791881277,0.00150586373819563,0.46019441806171396,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP1-2.6,Hopa (Artvin),2,0.043027063209184833,0.00150586373819563,4.15211994709892,m_200,"2,00x (m)"
SSP1-2.6,Kartal (Istanbul),0.5,7.293331650459755e-7,0.9745737670131724,-97.45730376800074,m_050,"0,50x (m)"
SSP1-2.6,Kartal (Istanbul),0.8,0.12314033362543916,0.9745737670131724,-85.14334333877332,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
SSP1-2.6,Kartal (Istanbul),1.2,0.9999947879807212,0.9745737670131724,2.5421020967548724,beta_plus_20 = ip_plus_20 = m_120,"1,20x (m / beta_vh / IP)"
SSP1-2.6,Kartal (Istanbul),2,1,0.9745737670131724,2.5426232986827557,m_200,"2,00x (m)"
SSP1-2.6,Zonguldak,0.5,9.181337468078254e-12,1.997399547803844e-4,-0.019973994559904694,m_050,"0,50x (m)"
SSP1-2.6,Zonguldak,0.8,2.615756139816461e-6,1.997399547803844e-4,-0.019712419864056797,beta_minus_20 = ip_minus_20 = m_080,"0,80x (m / beta_vh / IP)"
