Senaryo,Ilce,maks p_ay,"p>0,01 ay","p>0,05 ay","p>0,10 ay",P_ufuk (kesin),P_ufuk (yaklasik),Bagil fark (%),Sum p^2 / 2
SSP1-2.6,Kartal (Istanbul),"1,01 x 10^-1",77,25,1,"9,746 x 10^-1","9,718 x 10^-1","0,280","9,73 x 10^-2"
SSP1-2.6,Hopa (Artvin),"7,02 x 10^-4",0,0,0,"1,506 x 10^-3","1,506 x 10^-3","0,021","3,12 x 10^-7"
SSP1-2.6,Fethiye (Mugla),"1,29 x 10^-5",0,0,0,"1,342 x 10^-4","1,342 x 10^-4","0,000","4,48 x 10^-10"
SSP1-2.6,Zonguldak,"3,45 x 10^-5",0,0,0,"1,997 x 10^-4","1,997 x 10^-4","0,001","1,93 x 10^-9"
SSP1-2.6,Egirdir (Isparta),"3,03 x 10^-9",0,0,0,"4,940 x 10^-9","4,940 x 10^-9","0,000","4,71 x 10^-18"
SSP2-4.5,Kartal (Istanbul),"1,54 x 10^-1",85,37,10,"9,922 x 10^-1","9,905 x 10^-1","0,170","1,82 x 10^-1"
SSP2-4.5,Hopa (Artvin),"1,56 x 10^-3",0,0,0,"1,078 x 10^-2","1,078 x 10^-2","0,045","4,85 x 10^-6"
SSP2-4.5,Fethiye (Mugla),"2,49 x 10^-3",0,0,0,"3,220 x 10^-3","3,217 x 10^-3","0,097","3,13 x 10^-6"
SSP2-4.5,Zonguldak,"1,04 x 10^-4",0,0,0,"9,264 x 10^-4","9,264 x 10^-4","0,003","3,15 x 10^-8"
SSP2-4.5,Egirdir (Isparta),"6,09 x 10^-8",0,0,0,"7,383 x 10^-8","7,383 x 10^-8","0,000","1,86 x 10^-15"
SSP5-8.5,Kartal (Istanbul),"1,85 x 10^-1",109,59,17,"9,993 x 10^-1","9,990 x 10^-1","0,029","3,03 x 10^-1"
SSP5-8.5,Hopa (Artvin),"2,14 x 10^-3",0,0,0,"2,369 x 10^-2","2,368 x 10^-2","0,052","1,26 x 10^-5"
SSP5-8.5,Fethiye (Mugla),"7,24 x 10^-5",0,0,0,"3,703 x 10^-4","3,703 x 10^-4","0,002","7,04 x 10^-9"
SSP5-8.5,Zonguldak,"1,22 x 10^-4",0,0,0,"2,177 x 10^-3","2,177 x 10^-3","0,003","7,44 x 10^-8"
SSP5-8.5,Egirdir (Isparta),"4,19 x 10^-9",0,0,0,"1,749 x 10^-8","1,749 x 10^-8","0,000","2,41 x 10^-17"
