R0,Rejim,P_est(tau=10),P_est(tau=20),P_est(tau=30),P_est(sonsuz),Fark (%)
"0,50",subkritik,"9,78×10⁻4","9,54×10⁻7","9,31×10⁻10",0,–
"0,80",subkritik,"0,0301","0,0029","3,10×10⁻4",0,–
"0,95",subkritik,"0,0785","0,0294","0,0144",0,–
"0,99",subkritik,"0,0955","0,0454","0,0287",0,–
"1,00",kritik,"0,1000","0,0500","0,0333",0,–
"1,05",süperkritik,"0,1233","0,0764","0,0620","0,0476","30,10"
"1,20",süperkritik,"0,1988","0,1711","0,1674","0,1667","0,42"
"1,30",süperkritik,"0,2488","0,2320","0,2309","0,2308","0,04"
"1,50",süperkritik,"0,3392","0,3334","0,3333","0,3333","<0,01"
"2,00",süperkritik,"0,5005","0,5000","0,5000","0,5000","<0,01"
"3,00",süperkritik,"0,6667","0,6667","0,6667","0,6667","<0,01"
